         FINAL PRE-CLEARING PRICES AS OF 02/10/20 06:00 PM (CST)
MTH/                 ---- DAILY ---                        PT                     -------  PRIOR  DAY  -------
STRIKE     OPEN      HIGH      LOW       LAST      SETT    CHGE     EST.VOL       SETT         VOL         INT
0CJ TEST PLATINUM
JUN20    1021.3    1021.3    1021.3    1021.3      ----    ----          10       ----
TOTAL                                                               EST.VOL                 VOLUME    OPEN INT
TOTAL                                                                    10
0UL TEST EUA FUTURE
JUN20     .0025     .0025     .0025     .0025      ----    ----          10       ----
TOTAL                                                               EST.VOL                 VOLUME    OPEN INT
TOTAL                                                                    10
1CE Chicago Ethanol (Platts) Calendar Spread Option -
JLY28      ----      ----      ----      ----       .00    UNCH                    .00
AUG28      ----      ----      ----      ----       .00    UNCH                    .00
SEP28      ----      ----      ----      ----       .00    UNCH                    .00
OCT28      ----      ----      ----      ----       .00    UNCH                    .00
NOV28      ----      ----      ----      ----       .00    UNCH                    .00
DEC28      ----      ----      ----      ----       .00    UNCH                    .00
JAN29      ----      ----      ----      ----       .00    UNCH                    .00
FEB29      ----      ----      ----      ----       .00    UNCH                    .00
MAR29      ----      ----      ----      ----       .00    UNCH                    .00
APR29      ----      ----      ----      ----       .00    UNCH                    .00
MAY29      ----      ----      ----      ----       .00    UNCH                    .00
JUN29      ----      ----      ----      ----       .00    UNCH                    .00
JLY29      ----      ----      ----      ----       .00    UNCH                    .00
AUG29      ----      ----      ----      ----       .00    UNCH                    .00
SEP29      ----      ----      ----      ----       .00    UNCH                    .00
OCT29      ----      ----      ----      ----       .00    UNCH                    .00
NOV29      ----      ----      ----      ----       .00    UNCH                    .00
DEC29      ----      ----      ----      ----       .00    UNCH                    .00
JAN30      ----      ----      ----      ----       .00    UNCH                    .00
FEB30      ----      ----      ----      ----       .00    UNCH                    .00
MAR30      ----      ----      ----      ----       .00    UNCH                    .00
APR30      ----      ----      ----      ----       .00    UNCH                    .00
MAY30      ----      ----      ----      ----       .00    UNCH                    .00
JUN30      ----      ----      ----      ----       .00    UNCH                    .00
JLY30      ----      ----      ----      ----       .00    UNCH                    .00
AUG30      ----      ----      ----      ----       .00    UNCH                    .00
SEP30      ----      ----      ----      ----       .00    UNCH                    .00
OCT30      ----      ----      ----      ----       .00    UNCH                    .00
NOV30      ----      ----      ----      ----       .00    UNCH                    .00
DEC30      ----      ----      ----      ----       .00    UNCH                    .00
JAN31      ----      ----      ----      ----       .00    UNCH                    .00
CL Light Sweet Crude Oil Futures
MAR20     50.12     50.49     49.42     49.65     49.57    -.75      702782      50.32      768345      379169
APR20     50.34     50.72B    49.63     49.85     49.78    -.77      197431      50.55      230882      252644
MAY20     50.61     50.99     49.88     50.09     50.03    -.79      105566      50.82      112979      153631
JUN20     50.74     51.21     50.10     50.30B    50.25    -.79       88038      51.04       95167      222688
JLY20     51.00     51.33     50.32     50.49     50.46    -.76       43600      51.22       69645      113144
AUG20     50.93     51.42B    50.48     50.69     50.60    -.71       41866      51.31       39067       83853
SEP20     50.88     51.45B    50.53     50.72     50.69    -.64       38136      51.33       32954      112380
OCT20     51.06     51.42B    50.60     50.76     50.75    -.56       25475      51.31       25263       74197
NOV20     50.82     51.38     50.61     50.89     50.80    -.48       13164      51.28       17196       60303
DEC20     50.75     51.41     50.53     50.87B    50.80    -.42       58483      51.22       61167      260780
JAN21     50.87     51.18     50.57     50.75A    50.79    -.35        6084      51.14        6395       50996
FEB21     50.59     50.90B    50.49     50.70     50.75    -.32        3779      51.07        2478       28439
MAR21     50.48     50.48     50.48     50.48     50.73    -.28        9607      51.01       10589       38364
APR21      ----      ----     50.96A    50.96A    50.72    -.25         318      50.97         408       17554
MAY21      ----      ----      ----      ----     50.73    -.22         244      50.95         195       16788
JUN21     50.55     51.06B    50.31     50.81B    50.75    -.20       17912      50.95       16353       62753
