                PRELIMINARY PRICES AS OF 06/30/20 09:30 AM (CST)
MTH/                 ---- DAILY ---                        PT                     -------  PRIOR  DAY  -------
STRIKE     OPEN      HIGH      LOW       LAST      SETT    CHGE     EST.VOL       SETT         VOL         INT
JAN24      ----      ----      ----      ----      ----    UNCH                  2.667                     751
FEB24      ----      ----      ----      ----      ----    UNCH                  2.629                     662
MAR24      ----      ----      ----      ----      ----    UNCH                  2.503                     689
APR24      ----      ----      ----      ----      ----    UNCH                  2.243                     914
MAY24      ----      ----      ----      ----      ----    UNCH                  2.219                     684
JUN24      ----      ----      ----      ----      ----    UNCH                  2.252                     704
JLY24      ----      ----      ----      ----      ----    UNCH                  2.285                     735
AUG24      ----      ----      ----      ----      ----    UNCH                  2.294                     714
SEP24      ----      ----      ----      ----      ----    UNCH                  2.285                     690
OCT24      ----      ----      ----      ----      ----    UNCH                  2.309                     722
NOV24      ----      ----      ----      ----      ----    UNCH                  2.375                     639
DEC24      ----      ----      ----      ----      ----    UNCH                  2.546                     649
JAN25      ----      ----      ----      ----      ----    UNCH                  2.661                     490
FEB25      ----      ----      ----      ----      ----    UNCH                  2.627                     439
MAR25      ----      ----      ----      ----      ----    UNCH                  2.504                     427
APR25      ----      ----      ----      ----      ----    UNCH                  2.249                     436
MAY25      ----      ----      ----      ----      ----    UNCH                  2.230                     447
JUN25      ----      ----      ----      ----      ----    UNCH                  2.263                     468
JLY25      ----      ----      ----      ----      ----    UNCH                  2.299                     493
AUG25      ----      ----      ----      ----      ----    UNCH                  2.306                     476
SEP25      ----      ----      ----      ----      ----    UNCH                  2.302                     462
OCT25      ----      ----      ----      ----      ----    UNCH                  2.334                     425
NOV25      ----      ----      ----      ----      ----    UNCH                  2.402                     414
DEC25      ----      ----      ----      ----      ----    UNCH                  2.575                     435
JAN26      ----      ----      ----      ----      ----    UNCH                  2.697                     437
FEB26      ----      ----      ----      ----      ----    UNCH                  2.663                     402
MAR26      ----      ----      ----      ----      ----    UNCH                  2.539                     386
APR26      ----      ----      ----      ----      ----    UNCH                  2.284                     387
MAY26      ----      ----      ----      ----      ----    UNCH                  2.263                     407
JUN26      ----      ----      ----      ----      ----    UNCH                  2.296                     425
JLY26      ----      ----      ----      ----      ----    UNCH                  2.330                     439
AUG26      ----      ----      ----      ----      ----    UNCH                  2.341                     426
SEP26      ----      ----      ----      ----      ----    UNCH                  2.332                     417
OCT26      ----      ----      ----      ----      ----    UNCH                  2.355                     386
NOV26      ----      ----      ----      ----      ----    UNCH                  2.420                     387
DEC26      ----      ----      ----      ----      ----    UNCH                  2.585                     407
JAN27      ----      ----      ----      ----      ----    UNCH                  2.705                     371
FEB27      ----      ----      ----      ----      ----    UNCH                  2.670                     349
MAR27      ----      ----      ----      ----      ----    UNCH                  2.542                     342
APR27      ----      ----      ----      ----      ----    UNCH                  2.292                     342
MAY27      ----      ----      ----      ----      ----    UNCH                  2.277                     354
JUN27      ----      ----      ----      ----      ----    UNCH                  2.306                     364
JLY27      ----      ----      ----      ----      ----    UNCH                  2.340                     372
AUG27      ----      ----      ----      ----      ----    UNCH                  2.345                     364
SEP27      ----      ----      ----      ----      ----    UNCH                  2.349                     360
